expires_at,available,id,username,cusername,handle,display_name,created_at,channel_type,country_code,country,avatar,Banner,website,Facebook,twitch,twitter,Instagram,linkedin,discord,tik tok,uploads,subscribers,totalviews,growthsubs1,growthsubs3,growthsubs7,growthsubs14,growthsubs30,growthsubs60,growthsubs90,growthsubs180,growthsubs365,growthviews1,growthviews3,growthviews7,growthviews14,growthviews30,growthviews60,growthviews90,growthviews180,growthviews365,grade,sb_verified,made_for_kids,database_rank,sbrank,db_top_10,sp_top_100_excluding_top_10,rankedsubscribers,rankedviews,rankcountry
01/08/2023 22:19:35 EST,551,UCbCmjCuTUZos6Inko4u57UQ,checkgate,cocomelon,@cocomelon,Cocomelon - Nursery Rhymes,38961,education,US,United States,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,825,149000000,145729200196,0,1000000,1000000,1000000,3000000,5000000,7000000,12000000,26000000,85019633,242035226,580543737,1170899638,2627486207,4993638139,7427118550,14659156904,30594961325,A++,FALSE,TRUE,1,3,TRUE,FALSE,3,2,1
01/08/2023 22:19:33 EST,552,UCq-Fj5jknLsUf-MWSy4_brA,tseries,tseries,@tseries,T-Series,38789,music,IN,India,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,18195,231000000,209192055684,0,0,1000000,1000000,2000000,5000000,7000000,13000000,31000000,105857317,265402258,748132781,1260800114,2653298199,5191541522,8017326174,15823350338,35982097595,A++,FALSE,FALSE,2,4,TRUE,FALSE,1,1,1
01/08/2023 22:19:40 EST,547,UCpEhnqL0y41EpW2TvWAHD7Q,setindia,setindia,@setindia,SET India,38980,entertainment,IN,India,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,100321,147000000,135011663016,0,0,0,0,1000000,3000000,5000000,12000000,26000000,66879914,132032776,401486157,887795082,1996023012,4072829298,6415945919,15266739348,29372701061,A++,FALSE,FALSE,3,5,TRUE,FALSE,4,3,2
01/08/2023 22:19:46 EST,545,UC6-F5tO8uklgE9Zy8IvbdFw,sabtv,sonysab,@sonysab,Sony SAB,39298,entertainment,IN,India,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,61632,74800000,89014662597,0,100000,200000,400000,1000000,2000000,3000000,6600000,14100000,0,95482437,345669223,692330820,1431598784,3051736408,4732795636,9999525173,21288431544,A++,FALSE,FALSE,4,6,TRUE,FALSE,18,4,5
01/08/2023 22:20:02 EST,538,UCk8GzjMOrta8yxDcKfylJYw,k8GzjMOrta8yxDcKfylJYw,kidsdianashow,@kidsdianashow,✿ Kids Diana Show,42136,entertainment,US,United States,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1041,105000000,85034512201,1000000,1000000,1000000,1000000,3000000,4000000,5000000,8900000,19000000,0,93439919,275795280,624728886,1472772940,2445783001,3923135906,8994608325,19681208752,A++,TRUE,TRUE,5,9,TRUE,FALSE,8,6,3
01/08/2023 22:20:27 EST,526,UCe9JSDmyqNgA_l2BzGHq1Ug,Harpalgeo,harpalgeoofficial,@harpalgeoofficial,HAR PAL GEO,39449,entertainment,PK,Pakistan,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,75543,35400000,30692304114,0,0,100000,300000,800000,1700000,2500000,4900000,10400000,0,116260986,232832595,524036894,1182739396,2412578850,3517612564,6465571412,12468977276,A+,FALSE,FALSE,6,15,TRUE,FALSE,87,26,2
01/08/2023 22:58:15 EST,169,UCN8S4CqMRy6tVKVXvs7Bzeg,N8S4CqMRy6tVKVXvs7Bzeg,wowkidz1,@wowkidz1,Wow Kidz,42182,entertainment,IN,India,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,4420,29300000,15710644119,0,0,100000,100000,400000,700000,1000000,1900000,4100000,5683698,23118712,42060228,83248184,1046792037,1395716756,6411729255,1159555288,1238424498,A+,FALSE,FALSE,7,18,TRUE,FALSE,126,155,38
01/08/2023 22:21:06 EST,510,UCvrhwpnp2DHYQ1CbXby9ypQ,STARVIJAY,vijaytelevision,@vijaytelevision,Vijay Television,39114,entertainment,IN,India,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,34232,18200000,22604264292,0,100000,100000,200000,300000,600000,800000,1300000,2500000,60824645,112939215,191344403,472586086,796269257,1749984619,2219723360,3653877649,7016522781,A+,FALSE,FALSE,8,23,TRUE,FALSE,215,70,70
01/08/2023 22:24:15 EST,432,UCp_r6Z-Oh0YTf-ym71z5Nqg,AsianetIndia,asianet,@asianet,Asianet,39455,entertainment,IN,India,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,108993,8400000,14025518036,10000,20000,50000,100000,190000,350000,400000,620000,1270000,0,21783753,75630948,154813587,618357117,2688671032,3694760339,4382568612,6474592104,A+,FALSE,FALSE,9,28,TRUE,FALSE,451,194,204
01/08/2023 22:20:52 EST,519,UCNRl8nOCoUvki2FNFxQZgEg,NRl8nOCoUvki2FNFxQZgEg,,@dednahype,dednahype,43910,comedy,LV,Latvia,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1032,12100000,12249931585,0,100000,200000,400000,800000,1500000,2110000,4550000,7980000,37874816,112567192,269858815,482913099,1068147029,1975286845,2717818554,4989261733,8003495631,A+,FALSE,FALSE,10,31,TRUE,FALSE,276,261,1
