expires_at,available,id,username,cusername,handle,display_name,created_at,channel_type,country_code,country,avatar,Banner,website,Facebook,twitch,twitter,Instagram,linkedin,discord,tik tok,uploads,subscribers,totalviews,growthsubs1,growthsubs3,growthsubs7,growthsubs14,growthsubs30,growthsubs60,growthsubs90,growthsubs180,growthsubs365,growthviews1,growthviews3,growthviews7,growthviews14,growthviews30,growthviews60,growthviews90,growthviews180,growthviews365,grade,sb_verified,made_for_kids,sbrank,rankedsubscribers,rankedviews,rankcountry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:19:32 EST,553,UC5ezaYrzZpyItPSRG27MLpg,popskids,popskids,@popskids,POPS Kids,2014-01-14,film,VN,Vietnam,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"4,530.00","15,400,000.00","9,244,529,950.00",0.00,0.00,0.00,0.00,"100,000.00","200,000.00","300,000.00","600,000.00","1,600,000.00","6,287,307.00","12,724,729.00","42,012,752.00","86,705,346.00","94,912,614.00","176,777,430.00","383,474,079.00","933,082,396.00","3,554,354,499.00",A-,FALSE,TRUE,"2,655.00",242.00,404.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:19:33 EST,552,UCq-Fj5jknLsUf-MWSy4_brA,tseries,tseries,@tseries,T-Series,2006-03-13,music,IN,India,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"18,195.00","231,000,000.00","209,192,055,684.00",0.00,0.00,"1,000,000.00","1,000,000.00","2,000,000.00","5,000,000.00","7,000,000.00","13,000,000.00","31,000,000.00","105,857,317.00","265,402,258.00","748,132,781.00","1,260,800,114.00","2,653,298,199.00","5,191,541,522.00","8,017,326,174.00","15,823,350,338.00","35,982,097,595.00",A++,FALSE,FALSE,4.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:19:35 EST,551,UCbCmjCuTUZos6Inko4u57UQ,checkgate,cocomelon,@cocomelon,Cocomelon - Nursery Rhymes,2006-09-01,education,US,United States,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,825.00,"149,000,000.00","145,729,200,196.00",0.00,"1,000,000.00","1,000,000.00","1,000,000.00","3,000,000.00","5,000,000.00","7,000,000.00","12,000,000.00","26,000,000.00","85,019,633.00","242,035,226.00","580,543,737.00","1,170,899,638.00","2,627,486,207.00","4,993,638,139.00","7,427,118,550.00","14,659,156,904.00","30,594,961,325.00",A++,FALSE,TRUE,3.00,3.00,2.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:19:36 EST,550,UCJplp5SjeGSdVdwsfb9Q7lQ,Jplp5SjeGSdVdwsfb9Q7lQ,,@likenastyaofficial,Like Nastya,2016-12-06,entertainment,US,United States,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,739.00,"102,000,000.00","85,969,463,627.00",0.00,0.00,0.00,0.00,0.00,"1,000,000.00","2,000,000.00","5,800,000.00","19,800,000.00","25,311,698.00","76,277,597.00","159,667,475.00","323,046,689.00","649,784,943.00","1,554,655,762.00","2,410,049,036.00","7,245,183,137.00","20,218,522,012.00",A,FALSE,TRUE,92.00,9.00,5.00,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:19:37 EST,549,UCbrXS7LGc4IsMC4Ut4wIHyQ,brXS7LGc4IsMC4Ut4wIHyQ,roystongkingsuccess,@roystongkingsuccess,Royston G King - Success,2021-05-25,entertainment,US,United States,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,23.00,"1,400,000.00","16,133.00",0.00,"-10,000.00","-10,000.00","-10,000.00","-10,000.00","-10,000.00","-20,000.00","-40,000.00",,12.00,77.00,163.00,294.00,582.00,"5,668.00","10,442.00","13,835.00",,B-,FALSE,FALSE,"780,786.00","1,161.00","3,742,530.00",917.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:19:38 EST,548,UCIs62lUAAbac1mdqGIdSVJQ,Is62lUAAbac1mdqGIdSVJQ,murliwalehausla,@murliwalehausla,Murliwale Hausla,2019-02-26,animals,IN,India,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,601.00,"8,000,000.00","2,259,536,400.00",0.00,"10,000.00","20,000.00","40,000.00","140,000.00","520,000.00","850,000.00","1,750,000.00",,"3,106,658.00","6,812,250.00","11,977,397.00","27,101,798.00","79,458,359.00","221,537,580.00","368,394,434.00","726,891,600.00",,A-,FALSE,FALSE,"3,380.00",488.00,"3,363.00",221.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:19:40 EST,547,UCpEhnqL0y41EpW2TvWAHD7Q,setindia,setindia,@setindia,SET India,2006-09-20,entertainment,IN,India,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"100,321.00","147,000,000.00","135,011,663,016.00",0.00,0.00,0.00,0.00,"1,000,000.00","3,000,000.00","5,000,000.00","12,000,000.00","26,000,000.00","66,879,914.00","132,032,776.00","401,486,157.00","887,795,082.00","1,996,023,012.00","4,072,829,298.00","6,415,945,919.00","15,266,739,348.00","29,372,701,061.00",A++,FALSE,FALSE,5.00,4.00,3.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:19:42 EST,546,UC2uoWlDCtn8QuAwqn3T46zw,jquilesrf,justinquiles,@justinquiles,Justin Quiles,2011-03-11,music,US,United States,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,284.00,"4,510,000.00","3,791,937,197.00",0.00,0.00,0.00,"10,000.00","20,000.00","40,000.00","70,000.00","160,000.00","460,000.00","1,648,406.00","3,546,857.00","8,504,445.00","17,317,926.00","37,570,479.00","79,363,161.00","123,819,698.00","269,762,415.00","1,364,333,997.00",B+,FALSE,FALSE,"9,420.00",841.00,"1,646.00",603.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:19:46 EST,545,UC6-F5tO8uklgE9Zy8IvbdFw,sabtv,sonysab,@sonysab,Sony SAB,2007-08-04,entertainment,IN,India,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"61,632.00","74,800,000.00","89,014,662,597.00",0.00,"100,000.00","200,000.00","400,000.00","1,000,000.00","2,000,000.00","3,000,000.00","6,600,000.00","14,100,000.00",0.00,"95,482,437.00","345,669,223.00","692,330,820.00","1,431,598,784.00","3,051,736,408.00","4,732,795,636.00","9,999,525,173.00","21,288,431,544.00",A++,FALSE,FALSE,6.00,18.00,4.00,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:19:54 EST,544,UCSf0s2ogUVYpJPuzW1zpAOg,Sf0s2ogUVYpJPuzW1zpAOg,lankybox,@lankybox,LankyBox,2016-07-30,games,US,United States,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"6,621.00","21,800,000.00","29,291,040,006.00",0.00,"100,000.00","200,000.00","300,000.00","600,000.00","1,100,000.00","1,800,000.00","3,500,000.00","7,900,000.00",0.00,"57,607,013.00","160,967,523.00","331,865,620.00","756,897,962.00","1,553,478,091.00","2,693,382,918.00","5,482,250,464.00","13,038,401,685.00",A,FALSE,FALSE,63.00,181.00,33.00,80.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:19:56 EST,543,UCmh5gdwCx6lN7gEC20leNVA,mh5gdwCx6lN7gEC20leNVA,daviddobrik,@daviddobrik,David Dobrik,2014-12-19,people,US,United States,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,536.00,"18,100,000.00","7,125,263,314.00",0.00,0.00,0.00,0.00,0.00,0.00,"-100,000.00","-100,000.00","-200,000.00",0.00,"390,838.00","1,161,397.00","2,715,747.00","7,682,175.00","16,367,746.00","23,856,120.00","73,950,549.00","760,445,816.00",B+,FALSE,FALSE,"47,043.00",215.00,628.00,111.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2023 22:19:57 EST,542,UCTAacyv5T4cSus1W4D6eBfA,TAacyv5T4cSus1W4D6eBfA,korayzeynep,@korayzeynep0,Koray Zeynep,2016-07-08,people,,Unspecified,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"12,064.00","11,200,000.00","13,101,670,775.00","100,000.00","100,000.00","200,000.00","400,000.00","700,000.00","1,200,000.00","1,570,000.00","3,010,000.00","9,740,000.00","36,612,276.00","110,412,635.00","282,179,291.00","552,798,087.00","979,409,641.00","1,887,857,397.00","2,501,678,224.00","4,286,616,314.00","11,157,026,375.00",A+,FALSE,FALSE,36.00,285.00,232.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
