expires_at,available,id,username,cusername,handle,display_name,created_at,channel_type,country_code,country,avatar,Banner,website,Facebook,twitch,twitter,Instagram,linkedin,discord,tik tok,uploads,subscribers,totalviews,growthsubs1,growthsubs3,growthsubs7,growthsubs14,growthsubs30,growthsubs60,growthsubs90,growthsubs180,growthsubs365,growthviews1,growthviews3,growthviews7,growthviews14,growthviews30,growthviews60,growthviews90,growthviews180,growthviews365,grade,sb_verified,made_for_kids,sbrank,rankedsubscribers,rankedviews,rankcountry
01/08/2023 22:19:32 EST,553,UC5ezaYrzZpyItPSRG27MLpg,popskids,popskids,@popskids,POPS Kids,41653,film,VN,Vietnam,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4530,15400000,9244529950,0,0,0,0,100000,200000,300000,600000,1600000,6287307,12724729,42012752,86705346,94912614,176777430,383474079,933082396,3554354499,A-,FALSE,TRUE,2655,242,404,2
01/08/2023 22:19:33 EST,552,UCq-Fj5jknLsUf-MWSy4_brA,tseries,tseries,@tseries,T-Series,38789,music,IN,India,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,18195,231000000,209192055684,0,0,1000000,1000000,2000000,5000000,7000000,13000000,31000000,105857317,265402258,748132781,1260800114,2653298199,5191541522,8017326174,15823350338,35982097595,A++,FALSE,FALSE,4,1,1,1
01/08/2023 22:19:35 EST,551,UCbCmjCuTUZos6Inko4u57UQ,checkgate,cocomelon,@cocomelon,Cocomelon - Nursery Rhymes,38961,education,US,United States,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,825,149000000,145729200196,0,1000000,1000000,1000000,3000000,5000000,7000000,12000000,26000000,85019633,242035226,580543737,1170899638,2627486207,4993638139,7427118550,14659156904,30594961325,A++,FALSE,TRUE,3,3,2,1
01/08/2023 22:19:36 EST,550,UCJplp5SjeGSdVdwsfb9Q7lQ,Jplp5SjeGSdVdwsfb9Q7lQ,,@likenastyaofficial,Like Nastya,42710,entertainment,US,United States,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,739,102000000,85969463627,0,0,0,0,0,1000000,2000000,5800000,19800000,25311698,76277597,159667475,323046689,649784943,1554655762,2410049036,7245183137,20218522012,A,FALSE,TRUE,92,9,5,4
01/08/2023 22:19:37 EST,549,UCbrXS7LGc4IsMC4Ut4wIHyQ,brXS7LGc4IsMC4Ut4wIHyQ,roystongkingsuccess,@roystongkingsuccess,Royston G King - Success,44341,entertainment,US,United States,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,23,1400000,16133,0,-10000,-10000,-10000,-10000,-10000,-20000,-40000,,12,77,163,294,582,5668,10442,13835,,B-,FALSE,FALSE,780786,1161,3742530,917
01/08/2023 22:19:38 EST,548,UCIs62lUAAbac1mdqGIdSVJQ,Is62lUAAbac1mdqGIdSVJQ,murliwalehausla,@murliwalehausla,Murliwale Hausla,43522,animals,IN,India,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,601,8000000,2259536400,0,10000,20000,40000,140000,520000,850000,1750000,,3106658,6812250,11977397,27101798,79458359,221537580,368394434,726891600,,A-,FALSE,FALSE,3380,488,3363,221
01/08/2023 22:19:40 EST,547,UCpEhnqL0y41EpW2TvWAHD7Q,setindia,setindia,@setindia,SET India,38980,entertainment,IN,India,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,100321,147000000,135011663016,0,0,0,0,1000000,3000000,5000000,12000000,26000000,66879914,132032776,401486157,887795082,1996023012,4072829298,6415945919,15266739348,29372701061,A++,FALSE,FALSE,5,4,3,2
01/08/2023 22:19:42 EST,546,UC2uoWlDCtn8QuAwqn3T46zw,jquilesrf,justinquiles,@justinquiles,Justin Quiles,40613,music,US,United States,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,284,4510000,3791937197,0,0,0,10000,20000,40000,70000,160000,460000,1648406,3546857,8504445,17317926,37570479,79363161,123819698,269762415,1364333997,B+,FALSE,FALSE,9420,841,1646,603
01/08/2023 22:19:46 EST,545,UC6-F5tO8uklgE9Zy8IvbdFw,sabtv,sonysab,@sonysab,Sony SAB,39298,entertainment,IN,India,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,61632,74800000,89014662597,0,100000,200000,400000,1000000,2000000,3000000,6600000,14100000,0,95482437,345669223,692330820,1431598784,3051736408,4732795636,9999525173,21288431544,A++,FALSE,FALSE,6,18,4,5
01/08/2023 22:19:54 EST,544,UCSf0s2ogUVYpJPuzW1zpAOg,Sf0s2ogUVYpJPuzW1zpAOg,lankybox,@lankybox,LankyBox,42581,games,US,United States,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6621,21800000,29291040006,0,100000,200000,300000,600000,1100000,1800000,3500000,7900000,0,57607013,160967523,331865620,756897962,1553478091,2693382918,5482250464,13038401685,A,FALSE,FALSE,63,181,33,80
